103.82,7.7286,0
104.53,8.9187,0
105.18,10.074,0
103.74,7.6067,0
105.1,9.9156,0
104.08,8.1461,0
104.5,8.8686,0
103.77,7.6472,0
104.29,8.5088,0
104.13,8.2384,0
104.58,9.0053,0
104.63,9.0807,0
104.2,8.3577,0
103.88,7.8216,0
104.27,8.4649,0
105.03,9.7976,0
104.03,8.0699,0
104.22,8.3817,0
104.74,9.2826,0
105.08,9.8815,0
104.31,8.5334,0
103.79,7.6757,0
104.08,8.1456,0
104.44,8.7503,0
104.78,9.3517,0
105.06,9.8579,0
103.78,7.668,0
105.28,10.248,0
104.23,8.3959,0
104.92,9.5961,0
104.4,8.6936,0
105.1,9.9148,0
104.35,8.6018,0
105.16,10.024,0
103.8,7.7,0
104.68,9.1728,0
105.11,9.943,0
104.58,9.0017,0
104.54,8.9229,0
104.54,8.9356,0
104.1,8.1899,0
104.46,8.7978,0
104.23,8.4012,0
103.95,7.945,0
103.76,7.6328,0
105.28,10.247,0
104.22,8.3805,0
104.23,8.4096,0
103.98,7.9841,0
104.44,8.757,0
104.54,8.9373,0
105.06,9.8496,0
104.35,8.6076,0
103.81,7.7145,0
105.21,10.117,0
104.63,9.0931,0
104.62,9.0668,0
104.93,9.6179,0
103.7,7.5376,0
103.89,7.8372,0
104.89,9.5413,0
103.77,7.6538,0
104.76,9.3195,0
103.93,7.9139,0
104.33,8.5664,0
103.69,7.5265,0
104.21,8.3681,0
104.31,8.5379,0
104.7,9.2105,0
105.17,10.053,0
104.5,8.8561,0
105.21,10.121,0
104.2,8.3505,0
104.39,8.6655,0
104.75,9.3043,0
104.33,8.5717,0
103.84,7.7543,0
105.1,9.925,0
105.06,9.8425,0
104.54,8.923,0
103.88,7.8184,0
104.36,8.6287,0
104.53,8.9065,0
103.93,7.9044,0
103.78,7.6653,0
104.55,8.9537,0
104.83,9.4373,0
104.21,8.3748,0
104.63,9.087,0
104.18,8.3185,0
104.75,9.3004,0
104.41,8.7114,0
104.67,9.15,0
104.77,9.3362,0
103.74,7.604,0
103.84,7.7682,0
104.64,9.1046,0
103.9,7.8581,0
104.32,8.5608,0
103.71,7.5488,0
104.01,8.0445,0
104.93,9.6203,0
104.02,8.0504,0
104.14,8.2571,0
105.02,9.7788,0
104.85,9.4813,0
105.1,9.924,0
103.84,7.7647,0
104.55,8.9522,0
103.8,7.6968,0
103.85,7.7804,0
105.14,9.9979,0
104.56,8.9719,0
104.98,9.7095,0
104.41,8.7161,0
104.51,8.8726,0
103.93,7.9082,0
105.25,10.198,0
104.45,8.7805,0
104.37,8.6408,0
104.69,9.1929,0
104.95,9.6524,0
103.89,7.8447,0
104.32,8.5471,0
103.98,7.9931,0
104.26,8.4583,0
104.27,8.4653,0
103.7,7.534,0
103.78,7.6579,0
104.33,8.5704,0
105.12,9.9496,0
104.73,9.2701,0
105.22,10.145,0
105.12,9.9611,0
105.28,10.247,0
103.84,7.7663,0
104.22,8.3838,0
105.18,10.065,0
104.11,8.2023,0
104.49,8.8504,0
104.23,8.4018,0
104.07,8.1336,0
105.24,10.184,0
103.82,7.7371,0
104.1,8.1888,0
105.04,9.8121,0
103.99,8.0057,0
104.87,9.5194,0
104.13,8.2291,0
103.86,7.801,0
104.05,8.1079,0
104.29,8.507,0
104.72,9.2503,0
104.37,8.6405,0
104.13,8.2384,0
103.84,7.7626,0
104.33,8.5711,0
103.78,7.6694,0
103.8,7.6944,0
104.92,9.5943,0
105.01,9.7533,0
104,8.0167,0
104.67,9.1613,0
105.3,10.293,0
104.51,8.8738,0
104.01,8.0444,0
104.6,9.0286,0
105.06,9.8557,0
103.96,7.9478,0
104.35,8.6116,0
104.61,9.0537,0
103.72,7.5726,0
103.95,7.9359,0
104.07,8.1428,0
103.97,7.9693,0
103.83,7.7474,0
104.87,9.5122,0
104.27,8.4636,0
104.54,8.9384,0
105.16,10.037,0
104.03,8.0744,0
104.09,8.1654,0
104.81,9.3955,0
105.15,10.009,0
103.7,7.5433,0
104.25,8.4315,0
104.5,8.8567,0
104.4,8.6834,0
104.1,8.1914,0
104.3,8.5265,0
104.36,8.6151,0
104.59,9.0142,0
104.62,9.0645,0
104.5,8.8564,0
104.33,8.5632,0
104.74,9.2799,0
104.14,8.2504,0
104.42,8.7323,0
103.95,7.9464,0
104.01,8.0394,0
104.68,9.1752,0
104.96,9.6677,0
104.04,8.0905,0
103.8,7.6905,0
105.16,10.039,0
105.01,9.7535,0
104.5,8.8666,0
104.55,8.9424,0
104.12,8.2211,0
103.85,7.7715,0
105.24,10.181,0
103.69,7.5288,0
104.41,8.7024,0
104.29,8.4954,0
105.22,10.132,0
103.77,7.644,0
104.35,8.6102,0
105.07,9.8759,0
104.1,8.1921,0
104.96,9.6792,0
103.93,7.9,0
104.49,8.8424,0
104.68,9.1695,0
105.21,10.118,0
103.71,7.5551,0
103.71,7.5575,0
104.17,8.3057,0
104.11,8.2087,0
103.95,7.9413,0
104.05,8.1062,0
104,8.0234,0
105.28,10.255,0
104.31,8.542,0
104.73,9.264,0
105,9.7419,0
104.34,8.5936,0
103.7,7.5411,0
103.74,7.5942,0
103.84,7.7623,0
103.76,7.6387,0
103.81,7.7202,0
104.92,9.6041,0
104.88,9.5311,0
103.88,7.8233,0
103.79,7.6772,0
103.96,7.9486,0
105.13,9.9827,0
104,8.0156,0
104.41,8.7103,0
103.71,7.5598,0
103.72,7.5708,0
104.54,8.9237,0
103.84,7.753,0
103.84,7.7594,0
104.59,9.0136,0
104.08,8.1476,0
104.03,8.0773,0
104.99,9.7193,0
