103.88,7.6373,0
104.07,8.0265,0
104.08,8.0414,0
104.41,8.7108,0
104.31,8.5147,0
104.09,8.0632,0
103.97,7.8064,0
103.93,7.7302,0
103.88,7.6622,0
104.17,8.2194,0
103.91,7.7187,0
103.88,7.6424,0
103.89,7.6405,0
104.4,8.6948,0
104.41,8.7099,0
103.94,7.7686,0
104.4,8.693,0
103.88,7.6394,0
104,7.8951,0
103.88,7.6592,0
103.89,7.6667,0
104.24,8.3729,0
104.16,8.2095,0
103.9,7.7246,0
103.88,7.6476,0
103.91,7.7379,0
103.96,7.7866,0
104.18,8.2483,0
103.88,7.6376,0
103.91,7.7532,0
104.08,8.0285,0
103.9,7.6552,0
104.38,8.6455,0
104.01,7.9097,0
103.96,7.8046,0
104.33,8.5424,0
103.95,7.7783,0
103.91,7.7521,0
104.41,8.6998,0
103.91,7.6843,0
103.87,7.651,0
103.89,7.6966,0
103.88,7.6747,0
103.91,7.6741,0
104.34,8.5638,0
104.05,7.9784,0
103.91,7.7141,0
103.93,7.7184,0
104.03,7.9482,0
103.88,7.6577,0
103.89,7.6756,0
103.87,7.6544,0
104.15,8.187,0
103.88,7.6384,0
104.23,8.3541,0
103.89,7.6476,0
103.9,7.6561,0
104.26,8.42,0
104.41,8.7096,0
103.92,7.713,0
103.89,7.6393,0
104.08,8.0449,0
104.33,8.5458,0
103.89,7.6515,0
103.9,7.6686,0
104.33,8.5604,0
103.88,7.6548,0
104.35,8.586,0
103.89,7.6623,0
103.88,7.699,0
103.98,7.8333,0
103.91,7.7153,0
103.92,7.7053,0
103.92,7.7045,0
104.19,8.2797,0
103.9,7.6637,0
103.95,7.7727,0
103.99,7.8611,0
104.07,8.011,0
103.95,7.773,0
103.95,7.7747,0
103.95,7.7729,0
103.95,7.7541,0
104.33,8.551,0
104.03,7.9498,0
104.01,7.8922,0
104.33,8.552,0
103.96,7.7972,0
104.04,7.9591,0
104.41,8.7096,0
104.41,8.7077,0
104.4,8.691,0
104.01,7.8986,0
103.88,7.6935,0
103.91,7.6659,0
103.88,7.6384,0
104.21,8.3169,0
103.88,7.6375,0
104.09,8.0617,0
103.89,7.6488,0
104.35,8.5997,0
103.9,7.6535,0
103.88,7.6397,0
103.89,7.6399,0
103.88,7.6431,0
103.88,7.6506,0
104.37,8.6237,0
103.88,7.642,0
104.38,8.6601,0
104.31,8.5101,0
103.91,7.7368,0
103.88,7.6539,0
103.87,7.6514,0
104.38,8.6439,0
103.88,7.6419,0
103.91,7.7475,0
104.07,8.0107,0
103.87,7.6409,0
104.16,8.2067,0
104.26,8.4111,0
104.41,8.7097,0
103.94,7.7357,0
103.88,7.6438,0
103.88,7.6405,0
103.9,7.6653,0
103.88,7.6645,0
103.88,7.6407,0
104.35,8.5886,0
104.14,8.1666,0
104.4,8.6949,0
103.89,7.6383,0
104.24,8.3631,0
104.24,8.3649,0
103.89,7.6525,0
104.4,8.6963,0
104.3,8.4853,0
103.98,7.8155,0
103.9,7.663,0
103.99,7.847,0
103.88,7.6382,0
104.36,8.6068,0
104.01,7.8703,0
103.91,7.6834,0
104.39,8.6655,0
104.29,8.4627,0
103.96,7.7861,0
103.98,7.8258,0
103.94,7.744,0
103.92,7.7078,0
103.9,7.6687,0
103.91,7.6795,0
103.98,7.8208,0
103.87,7.6431,0
104.04,7.9683,0
103.95,7.7548,0
103.98,7.8238,0
104.02,7.9241,0
104.39,8.67,0
104.29,8.4717,0
104.38,8.6424,0
104.28,8.4582,0
104.36,8.6167,0
103.9,7.662,0
104.41,8.706,0
104.41,8.7089,0
103.96,7.7925,0
104.21,8.301,0
103.88,7.6401,0
103.9,7.7137,0
104.12,8.1274,0
104.25,8.3832,0
103.9,7.6778,0
104.12,8.1222,0
103.94,7.7506,0
104.21,8.3085,0
103.88,7.6401,0
103.99,7.8295,0
103.91,7.675,0
104.41,8.7087,0
103.91,7.664,0
104.41,8.7077,0
104.09,8.0538,0
103.95,7.7541,0
103.9,7.6938,0
